sku,date,units,revenue_cents
22423,2010-12-01,115,143484
22423,2010-12-02,184,205800
22423,2010-12-03,227,314511
22423,2010-12-04,0,0
22423,2010-12-05,86,95250
22423,2010-12-06,144,184538
22423,2010-12-07,129,188295
22423,2010-12-08,64,78385
22423,2010-12-09,71,92065
22423,2010-12-10,324,412531
22423,2010-12-11,0,0
22423,2010-12-12,53,58935
22423,2010-12-13,25,34091
22423,2010-12-14,74,157718
22423,2010-12-15,150,168210
22423,2010-12-16,63,71685
22423,2010-12-17,44,59258
22423,2010-12-18,0,0
22423,2010-12-19,14,17850
22423,2010-12-20,84,102282
22423,2010-12-21,81,205195
22423,2010-12-22,1,1275
22423,2010-12-23,8,19118
22423,2010-12-24,0,0
22423,2010-12-25,0,0
22423,2010-12-26,0,0
22423,2010-12-27,0,0
22423,2010-12-28,0,0
22423,2010-12-29,0,0
22423,2010-12-30,0,0
22423,2010-12-31,0,0
22423,2011-01-01,0,0
22423,2011-01-02,0,0
22423,2011-01-03,0,0
22423,2011-01-04,26,30270
22423,2011-01-05,18,21344
22423,2011-01-06,85,113417
22423,2011-01-07,84,92700
22423,2011-01-08,0,0
22423,2011-01-09,32,37920
22423,2011-01-10,38,42690
22423,2011-01-11,41,70151
22423,2011-01-12,27,32819
22423,2011-01-13,20,22620
22423,2011-01-14,27,38871
22423,2011-01-15,0,0
22423,2011-01-16,9,11475
22423,2011-01-17,10,12750
22423,2011-01-18,11,23793
22423,2011-01-19,1,1275
22423,2011-01-20,15,19125
22423,2011-01-21,35,51513
22423,2011-01-22,0,0
22423,2011-01-23,35,38865
22423,2011-01-24,23,28887
22423,2011-01-25,49,65262
22423,2011-01-26,9,11475
22423,2011-01-27,31,37866
22423,2011-01-28,15,22788
22423,2011-01-29,0,0
22423,2011-01-30,3,3825
22423,2011-01-31,5,11259
22423,2011-02-01,16,22842
22423,2011-02-02,29,36537
22423,2011-02-03,27,31545
22423,2011-02-04,23,28887
22423,2011-02-05,0,0
22423,2011-02-06,3,3825
22423,2011-02-07,10,12750
22423,2011-02-08,16,36273
22423,2011-02-09,2,3771
22423,2011-02-10,34,40470
22423,2011-02-11,54,66315
22423,2011-02-12,0,0
22423,2011-02-13,19,21345
22423,2011-02-14,74,82611
22423,2011-02-15,86,95250
22423,2011-02-16,24,27720
22423,2011-02-17,52,75192
22423,2011-02-18,12,16521
22423,2011-02-19,0,0
22423,2011-02-20,53,58935
22423,2011-02-21,6,7650
22423,2011-02-22,26,30270
22423,2011-02-23,18,36381
22423,2011-02-24,40,45240
22423,2011-02-25,26,35592
22423,2011-02-26,0,0
22423,2011-02-27,4,5100
22423,2011-02-28,16,22842
22423,2011-03-01,10,13971
22423,2011-03-02,217,243915
22423,2011-03-03,40,53442
22423,2011-03-04,11,14025
22423,2011-03-05,0,0
22423,2011-03-06,19,21345
22423,2011-03-07,36,64215
22423,2011-03-08,38,42690
22423,2011-03-09,49,56715
22423,2011-03-10,14,17850
22423,2011-03-11,48,73755
22423,2011-03-12,0,0
22423,2011-03-13,0,0
22423,2011-03-14,38,42690
22423,2011-03-15,22,43923
22423,2011-03-16,52,60540
22423,2011-03-17,57,53078
22423,2011-03-18,42,60438
22423,2011-03-19,0,0
22423,2011-03-20,49,57936
22423,2011-03-21,43,49065
22423,2011-03-22,59,95544
22423,2011-03-23,83,91425
22423,2011-03-24,20,25500
22423,2011-03-25,54,103038
22423,2011-03-26,0,0
22423,2011-03-27,57,64035
22423,2011-03-28,29,38196
22423,2011-03-29,24,51357
22423,2011-03-30,58,69411
22423,2011-03-31,106,125191
22423,2011-04-01,25,31875
22423,2011-04-02,0,0
22423,2011-04-03,16,17520
22423,2011-04-04,59,74787
22423,2011-04-05,22,29271
22423,2011-04-06,59,96327
22423,2011-04-07,94,108330
22423,2011-04-08,9,11475
22423,2011-04-09,0,0
22423,2011-04-10,29,32655
22423,2011-04-11,57,74241
22423,2011-04-12,39,46845
22423,2011-04-13,130,145590
22423,2011-04-14,94,111210
22423,2011-04-15,16,28947
