sku,date,units,revenue_cents
BAG-02,2024-01-01,12,29988
BAG-02,2024-01-02,13,32487
BAG-02,2024-01-03,18,44982
BAG-02,2024-01-04,17,42483
BAG-02,2024-01-05,17,42483
BAG-02,2024-01-06,26,64974
BAG-02,2024-01-07,14,34986
BAG-02,2024-01-08,15,37485
BAG-02,2024-01-09,15,37485
BAG-02,2024-01-10,14,34986
BAG-02,2024-01-11,17,42483
BAG-02,2024-01-12,17,42483
BAG-02,2024-01-13,18,44982
BAG-02,2024-01-14,23,57477
BAG-02,2024-01-15,16,39984
BAG-02,2024-01-16,14,34986
BAG-02,2024-01-17,21,52479
BAG-02,2024-01-18,13,32487
BAG-02,2024-01-19,20,49980
BAG-02,2024-01-20,21,52479
BAG-02,2024-01-21,20,49980
BAG-02,2024-01-22,13,32487
BAG-02,2024-01-23,11,27489
BAG-02,2024-01-24,12,29988
BAG-02,2024-01-25,13,32487
BAG-02,2024-01-26,19,47481
BAG-02,2024-01-27,25,62475
BAG-02,2024-01-28,22,54978
BAG-02,2024-01-29,15,37485
BAG-02,2024-01-30,14,34986
BAG-02,2024-01-31,15,37485
BAG-02,2024-02-01,14,34986
BAG-02,2024-02-02,19,47481
BAG-02,2024-02-03,26,64974
BAG-02,2024-02-04,21,52479
BAG-02,2024-02-05,14,34986
BAG-02,2024-02-06,17,42483
BAG-02,2024-02-07,13,32487
BAG-02,2024-02-08,14,34986
BAG-02,2024-02-09,20,49980
BAG-02,2024-02-10,21,52479
BAG-02,2024-02-11,19,47481
BAG-02,2024-02-12,12,29988
BAG-02,2024-02-13,17,42483
BAG-02,2024-02-14,13,32487
BAG-02,2024-02-15,14,34986
BAG-02,2024-02-16,19,47481
BAG-02,2024-02-17,26,64974
BAG-02,2024-02-18,16,39984
BAG-02,2024-02-19,10,24990
BAG-02,2024-02-20,11,27489
BAG-02,2024-02-21,20,49980
BAG-02,2024-02-22,14,34986
BAG-02,2024-02-23,20,49980
BAG-02,2024-02-24,19,47481
BAG-02,2024-02-25,15,37485
BAG-02,2024-02-26,15,37485
BAG-02,2024-02-27,15,37485
BAG-02,2024-02-28,16,39984
BAG-02,2024-02-29,18,44982
BAG-02,2024-03-01,23,57477
BAG-02,2024-03-02,28,69972
BAG-02,2024-03-03,24,59976
BAG-02,2024-03-04,17,42483
BAG-02,2024-03-05,12,29988
BAG-02,2024-03-06,15,37485
BAG-02,2024-03-07,15,37485
BAG-02,2024-03-08,14,34986
BAG-02,2024-03-09,22,54978
BAG-02,2024-03-10,19,47481
BAG-02,2024-03-11,13,32487
BAG-02,2024-03-12,13,32487
BAG-02,2024-03-13,18,44982
BAG-02,2024-03-14,15,37485
BAG-02,2024-03-15,22,54978
BAG-02,2024-03-16,19,47481
BAG-02,2024-03-17,22,54978
BAG-02,2024-03-18,14,34986
BAG-02,2024-03-19,17,42483
BAG-02,2024-03-20,14,34986
BAG-02,2024-03-21,15,37485
BAG-02,2024-03-22,22,54978
BAG-02,2024-03-23,21,52479
BAG-02,2024-03-24,18,44982
BAG-02,2024-03-25,16,39984
BAG-02,2024-03-26,14,34986
BAG-02,2024-03-27,15,37485
BAG-02,2024-03-28,15,37485
BAG-02,2024-03-29,23,57477
BAG-02,2024-03-30,18,44982
BAG-02,2024-03-31,14,34986
BAG-02,2024-04-01,12,29988
BAG-02,2024-04-02,17,42483
BAG-02,2024-04-03,18,44982
BAG-02,2024-04-04,19,47481
BAG-02,2024-04-05,19,47481
BAG-02,2024-04-06,20,49980
BAG-02,2024-04-07,19,47481
BAG-02,2024-04-08,13,32487
BAG-02,2024-04-09,17,42483
BAG-02,2024-04-10,19,47481
BAG-02,2024-04-11,13,32487
BAG-02,2024-04-12,20,49980
BAG-02,2024-04-13,25,62475
BAG-02,2024-04-14,18,44982
BAG-02,2024-04-15,19,47481
BAG-02,2024-04-16,17,42483
BAG-02,2024-04-17,12,29988
BAG-02,2024-04-18,14,34986
BAG-02,2024-04-19,19,47481
BAG-02,2024-04-20,23,57477
BAG-02,2024-04-21,17,42483
BAG-02,2024-04-22,17,42483
BAG-02,2024-04-23,15,37485
BAG-02,2024-04-24,14,34986
BAG-02,2024-04-25,16,39984
BAG-02,2024-04-26,22,54978
BAG-02,2024-04-27,25,62475
BAG-02,2024-04-28,15,37485
BAG-02,2024-04-29,15,37485
BAG-02,2024-04-30,21,52479
BAG-02,2024-05-01,14,34986
BAG-02,2024-05-02,17,42483
BAG-02,2024-05-03,23,57477
BAG-02,2024-05-04,25,62475
BAG-02,2024-05-05,17,42483
BAG-02,2024-05-06,18,44982
BAG-02,2024-05-07,14,34986
BAG-02,2024-05-08,16,39984
BAG-02,2024-05-09,17,42483
BAG-02,2024-05-10,18,44982
BAG-02,2024-05-11,25,62475
BAG-02,2024-05-12,17,42483
BAG-02,2024-05-13,11,27489
BAG-02,2024-05-14,16,39984
BAG-02,2024-05-15,26,64974
BAG-02,2024-05-16,19,47481
