sku,dimension,segment,days,mae,rmse,wape,bias,band_coverage
22423,overall,all,28,27.82142857,44.40921719,0.9558282209,2.607142857,0.7857142857
22423,horizon_week,1–7,7,23.28571429,33.27160952,1.124137931,11,0.8571428571
22423,horizon_week,8–14,7,19.42857143,25.50070027,0.6601941748,2.285714286,0.8571428571
22423,horizon_week,15–21,7,32.28571429,46.13644361,1.189473684,4.571428571,0.7142857143
22423,horizon_week,22–28,7,36.28571429,63.26813687,0.9270072993,-7.428571429,0.7142857143
22423,weekday,Friday,4,72.25,73.18298983,2.513043478,72.25,0
22423,weekday,Saturday,4,0,0,,0,1
22423,weekday,Sunday,4,5.75,6.538348415,0.3650793651,-0.75,1
22423,weekday,Monday,4,16.25,20.31624965,0.6989247312,11.75,1
22423,weekday,Tuesday,4,70.5,85.87782019,0.8757763975,-70.5,0.5
22423,weekday,Wednesday,4,12.5,17.53567792,0.462962963,-12,1
22423,weekday,Thursday,4,17.5,17.64936259,0.6140350877,17.5,1
22423,demand_group,other,26,21.19230769,32.40785755,0.9717813051,11.57692308,0.8461538462
22423,demand_group,high,2,114,118.1397478,0.9193548387,-114,0
85099B,overall,all,28,102.0557512,150.9891346,0.7579737486,22.27059671,0.7857142857
85099B,horizon_week,1–7,7,181.4736529,230.2557509,0.853133358,-11.30367809,0.5714285714
85099B,horizon_week,8–14,7,51.72482061,58.89563888,0.4565873194,33.51417485,1
85099B,horizon_week,15–21,7,39.70683594,48.7492477,0.4579042036,37.32724646,1
85099B,horizon_week,22–28,7,135.3176952,179.7998298,1.075168975,29.54464363,0.5714285714
85099B,weekday,Friday,4,195.7428722,233.6086372,1.246769886,10.6400319,0.5
85099B,weekday,Saturday,4,65.45316521,68.67911695,,65.45316521,1
85099B,weekday,Sunday,4,33.18857454,35.14369927,0.8045715041,18.77071232,1
85099B,weekday,Monday,4,144.1630907,236.5559192,0.6443043161,-92.3976995,0.75
85099B,weekday,Tuesday,4,71.38506647,97.51265362,0.3564797327,-18.80319262,1
85099B,weekday,Wednesday,4,72.80958824,99.91741875,0.4044977124,55.05787405,0.75
85099B,weekday,Thursday,4,131.6479007,153.6496799,0.9386659589,117.1732856,0.5
85099B,demand_group,other,25,73.65846737,100.2186289,0.8122901121,65.58704224,0.84
85099B,demand_group,high,3,338.6997827,359.2778803,0.6760474705,-338.6997827,0.3333333333
85123A,overall,all,28,64.17857143,103.1037965,0.5794904869,-44.03571429,0.8571428571
85123A,horizon_week,1–7,7,102,162.8934797,0.6139294927,-99.42857143,0.7142857143
85123A,horizon_week,8–14,7,17.57142857,21.63000561,0.2365384615,-7.571428571,1
85123A,horizon_week,15–21,7,68.57142857,85.17712637,0.6357615894,-41.14285714,0.8571428571
85123A,horizon_week,22–28,7,68.57142857,90.90811688,0.7239819005,-28,0.8571428571
85123A,weekday,Friday,4,61.5,77.24959547,0.4315789474,-61.5,0.75
85123A,weekday,Saturday,4,0,0,,0,1
85123A,weekday,Sunday,4,40.5,48.04685213,0.9204545455,30,1
85123A,weekday,Monday,4,163.25,205.7225073,0.8404118404,-163.25,0.5
85123A,weekday,Tuesday,4,89.25,132.0426068,0.6230366492,-46.25,0.75
85123A,weekday,Wednesday,4,63.25,72.95375247,0.386259542,-50.75,1
85123A,weekday,Thursday,4,31.5,32.51922508,0.36,-16.5,1
85123A,demand_group,other,22,30.63636364,40.83225107,0.4457671958,-5,1
85123A,demand_group,high,6,187.1666667,208.5549488,0.7067337948,-187.1666667,0.3333333333
